date;symbol;open;high;low;close
11/02/2021 00:00;BTC/USD;4485463;4869684;4404096;4798148
10/02/2021 00:00;BTC/USD;4649390;4736409;4374606;4485463
09/02/2021 00:00;BTC/USD;4644551;4821609;4500000;4650520
08/02/2021 00:00;BTC/USD;3887036;4671212;3805097;4641645
07/02/2021 00:00;BTC/USD;3927480;3972744;3741293;3885839
06/02/2021 00:00;BTC/USD;3832000;4102548;3823081;3928210
05/02/2021 00:00;BTC/USD;3698428;3835969;3661836;3832000
04/02/2021 00:00;BTC/USD;3769300;3874852;3619765;3699632
03/02/2021 00:00;BTC/USD;3549691;3773287;3538245;3769163
02/02/2021 00:00;BTC/USD;3349716;3600867;3343167;3552216
01/02/2021 00:00;BTC/USD;3311032;3473610;3233301;3353274
31/01/2021 00:00;BTC/USD;3430019;3438021;3219370;3314138
30/01/2021 00:00;BTC/USD;3426571;3493139;3286000;3432300
29/01/2021 00:00;BTC/USD;3348866;3862000;3199000;3424964
28/01/2021 00:00;BTC/USD;3042734;3387058;2989999;3348487
27/01/2021 00:00;BTC/USD;3252165;3258012;2915049;3042462
26/01/2021 00:00;BTC/USD;3226415;3295328;3084740;3250453
25/01/2021 00:00;BTC/USD;3228906;3488800;3193912;3226122
24/01/2021 00:00;BTC/USD;3209838;3307575;3096077;3228883
23/01/2021 00:00;BTC/USD;3298910;3346846;3142611;3211749
22/01/2021 00:00;BTC/USD;3081786;3386485;2880000;3299206
21/01/2021 00:00;BTC/USD;3551617;3562096;3004416;3081818
20/01/2021 00:00;BTC/USD;3588813;3644010;3340000;3549691
19/01/2021 00:00;BTC/USD;3666582;3787471;3588800;3591762
18/01/2021 00:00;BTC/USD;3582636;3744986;3477785;3661695
17/01/2021 00:00;BTC/USD;3601351;3683900;3383355;3581925
